type habit,prix,adresse,image_link
Vêtements Enfants,6500,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1373984_uploaded_image2_1576959397.44.png""); width: 376px;"
Vêtements Enfants,15000,"M'bour, Sénégal","background-image: url(""https://images.coinafrique.com/1410978_uploaded_image2_1577742017.02.png""); width: 437px;"
Vêtements Enfants,400,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1491193_uploaded_image1_1579191536.91.png""); width: 411px;"
Vêtements Enfants,12000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1514274_uploaded_image2_1579604622.29.png""); width: 525px;"
Vêtements Enfants,6000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1514342_uploaded_image2_1579605416.59.png""); width: 516px;"
Vêtements Enfants,6000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1514365_uploaded_image2_1579605771.7.png""); width: 516px;"
Vêtements Enfants,5000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1514395_uploaded_image2_1579606069.65.png""); width: 516px;"
Vêtements Enfants,7000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1526621_uploaded_image2_1579784330.83.png""); width: 492px;"
Vêtements Enfants,4000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1543886_uploaded_image2_1580076977.63.png""); width: 512px;"
Vêtements Enfants,4000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1543891_uploaded_image2_1580077027.4.png""); width: 512px;"
Vêtements Enfants,4000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1543894_uploaded_image2_1580077073.05.png""); width: 512px;"
Vêtements Enfants,4000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1543944_uploaded_image2_1580077932.04.png""); width: 512px;"
Vêtements Enfants,4000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1543946_uploaded_image2_1580077992.54.png""); width: 512px;"
Vêtements Enfants,4000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1543948_uploaded_image2_1580078044.7.png""); width: 512px;"
Vêtements Enfants,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1544373_uploaded_image2_1580086241.07.png""); width: 441px;"
Vêtements Enfants,12000,"HLM, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1552044_uploaded_image2_1580207298.82.png""); width: 452px;"
Vêtements Enfants,2000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559422_uploaded_image2_1580301721.42.png""); width: 480px;"
Vêtements Enfants,2000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559425_uploaded_image2_1580301744.77.png""); width: 480px;"
Vêtements Enfants,12000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559487_uploaded_image2_1580302197.38.png""); width: 480px;"
Vêtements Enfants,12000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559490_uploaded_image2_1580302235.5.png""); width: 480px;"
Vêtements Enfants,12000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559493_uploaded_image2_1580302285.41.png""); width: 480px;"
Vêtements Enfants,6000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559509_uploaded_image2_1580302514.52.png""); width: 480px;"
Vêtements Enfants,6000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559510_uploaded_image2_1580302552.0.png""); width: 480px;"
Vêtements Enfants,5000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559514_uploaded_image2_1580302587.01.png""); width: 480px;"
Vêtements Enfants,8000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559518_uploaded_image2_1580302630.44.png""); width: 480px;"
Vêtements Enfants,15000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1565490_uploaded_image2_1580383348.18.png""); width: 410px;"
Vêtements Enfants,5000,"Thies Nord, Thiès, Sénégal","background-image: url(""https://images.coinafrique.com/1566600_uploaded_image2_1580394361.03.png""); width: 476px;"
Vêtements Enfants,25000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1607896_uploaded_image2_1581036259.84.png""); width: 397px;"
Vêtements Enfants,25000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1607901_uploaded_image2_1581036440.47.png""); width: 397px;"
Vêtements Enfants,25000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1607904_uploaded_image2_1581036553.62.png""); width: 397px;"
Vêtements Enfants,10000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1608013_uploaded_image2_1581043244.61.png""); width: 512px;"
Vêtements Enfants,2000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1608014_uploaded_image1_1581043282.72.png""); width: 512px;"
Vêtements Enfants,12000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1632221_uploaded_image2_1581423696.07.png""); width: 452px;"
Vêtements Enfants,10000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1647670_uploaded_image2_1581664885.9.png""); width: 410px;"
Vêtements Enfants,7000,"Patte d'Oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1680030_uploaded_image1_1582211265.82.png""); width: 489px;"
Vêtements Enfants,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1689763_uploaded_image2_1582384162.5.png""); width: 572px;"
Vêtements Enfants,20000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1697316_uploaded_image2_1582554886.35.png""); width: 384px;"
Vêtements Enfants,10000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1703264_uploaded_image2_1582641589.69.png""); width: 411px;"
Vêtements Enfants,10000,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1719896_uploaded_image2_1582902178.87.png""); width: 518px;"
Vêtements Enfants,5000,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1720893_uploaded_image2_1582915357.34.png""); width: 389px;"
Vêtements Enfants,1500,"Grand Dakar, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1730070_uploaded_image2_1583108098.61.png""); width: 477px;"
Vêtements Enfants,3500,"Fass, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1738625_uploaded_image2_1583250075.32.png""); width: 404px;"
Vêtements Enfants,5000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1773838_uploaded_image2_1583862932.4.png""); width: 425px;"
Vêtements Enfants,5000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1783768_uploaded_image2_1584018577.65.png""); width: 425px;"
Vêtements Enfants,10000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1784533_uploaded_image2_1584027398.02.png""); width: 608px;"
Vêtements Enfants,10000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1784540_uploaded_image2_1584027470.78.png""); width: 608px;"
Vêtements Enfants,10000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1784551_uploaded_image2_1584027560.8.png""); width: 608px;"
Vêtements Enfants,10000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1784556_uploaded_image2_1584027610.31.png""); width: 608px;"
Vêtements Enfants,5000,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1784678_uploaded_image2_1584029251.81.png""); width: 389px;"
Vêtements Enfants,5000,"HLM, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1790170_uploaded_image2_1584127134.2.png""); width: 452px;"
Vêtements Enfants,9000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1797422_uploaded_image2_1584283247.81.png""); width: 534px;"
Vêtements Enfants,6000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1797916_uploaded_image1_1584293987.81.png""); width: 534px;"
Vêtements Enfants,5000,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1803131_uploaded_image2_1584378734.88.png""); width: 547px;"
Vêtements Enfants,12000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1810071_uploaded_image1_1584488550.47.png""); width: 530px;"
Vêtements Enfants,15000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1834624_uploaded_image2_1584951207.57.png""); width: 369px;"
